Human Gene ID	Human Protein ID	Human Gene Name	Zfish Gene ID	ZfishProtein ID	Zfish Gene Name
ENSG00000027847	ENSP00000029410	B4GALT7	ENSDARG00000021899	ENSDARP00000131716	b4galt7
ENSG00000034713	ENSP00000037243	GABARAPL2	ENSDARG00000027200	ENSDARP00000039056	gabarapl2
ENSG00000034971	ENSP00000037502	MYOC	ENSDARG00000021789	ENSDARP00000028581	myoc
ENSG00000037965	ENSP00000040584	HOXC8	ENSDARG00000070346	ENSDARP00000093913	hoxc8a
ENSG00000037757	ENSP00000040663	MRI1	ENSDARG00000075754	ENSDARP00000098757	mri1
ENSG00000059588	ENSP00000040877	TARBP1	ENSDARG00000079055	ENSDARP00000099781	
ENSG00000041357	ENSP00000044462	PSMA4	ENSDARG00000045928	ENSDARP00000067511	psma4
ENSG00000043462	ENSP00000046794	LCP2	ENSDARG00000055955	ENSDARP00000059419	lcp2a
ENSG00000011465	ENSP00000052754	DCN	ENSDARG00000012066	ENSDARP00000025940	dcn
ENSG00000048544	ENSP00000053468	MRPS10	ENSDARG00000045913	ENSDARP00000067487	mrps10
ENSG00000030582	ENSP00000053867	GRN	ENSDARG00000025081	ENSDARP00000096463	grnb
ENSG00000049449	ENSP00000054950	RCN1	ENSDARG00000070006	ENSDARP00000093139	RCN1
ENSG00000049541	ENSP00000055077	RFC2	ENSDARG00000014274	ENSDARP00000104753	rfc2
ENSG00000050030	ENSP00000055682	NEXMIF	ENSDARG00000029296	ENSDARP00000136265	NEXMIF
ENSG00000054803	ENSP00000064571	CBLN4	ENSDARG00000061240	ENSDARP00000081582	cbln4
ENSG00000013297	ENSP00000064724	CLDN11	ENSDARG00000020031	ENSDARP00000027131	cldn11a
ENSG00000054965	ENSP00000064778	FAM168A	ENSDARG00000098832	ENSDARP00000140889	fam168a
ENSG00000054967	ENSP00000064780	RELT	ENSDARG00000099724	ENSDARP00000132358	relt
ENSG00000057294	ENSP00000070846	PKP2	ENSDARG00000023026	ENSDARP00000035112	pkp2
ENSG00000060140	ENSP00000075503	STYK1	ENSDARG00000041947	ENSDARP00000112925	styk1b
ENSG00000060566	ENSP00000078445	CREB3L3	ENSDARG00000056226	ENSDARP00000113661	creb3l3a
ENSG00000061794	ENSP00000081029	MRPS35	ENSDARG00000038456	ENSDARP00000056120	mrps35
ENSG00000062725	ENSP00000083182	APPBP2	ENSDARG00000007566	ENSDARP00000027941	appbp2
ENSG00000063177	ENSP00000084795	RPL18	ENSDARG00000029533	ENSDARP00000043172	rpl18
ENSG00000063241	ENSP00000085068	ISOC2	ENSDARG00000013371	ENSDARP00000022030	isoc2
ENSG00000012124	ENSP00000085219	CD22	ENSDARG00000039096	ENSDARP00000057094	si:dkey-24p1.1
ENSG00000071575	ENSP00000155926	TRIB2	ENSDARG00000016200	ENSDARP00000036401	trib3
ENSG00000021776	ENSP00000156471	AQR	ENSDARG00000016775	ENSDARP00000110866	aqr
ENSG00000070526	ENSP00000156626	ST6GALNAC1	ENSDARG00000043814	ENSDARP00000115490	st6galnac1.1
ENSG00000071282	ENSP00000157600	LMCD1	ENSDARG00000002002	ENSDARP00000128272	lmcd1
ENSG00000072849	ENSP00000158771	DERL2	ENSDARG00000042401	ENSDARP00000062174	derl2
ENSG00000077063	ENSP00000160373	CTTNBP2	ENSDARG00000040991	ENSDARP00000091516	CTTNBP2
ENSG00000047188	ENSP00000161863	YTHDC2	ENSDARG00000103525	ENSDARP00000132196	YTHDC2
ENSG00000064545	ENSP00000162044	TMEM161A	ENSDARG00000012790	ENSDARP00000007148	tmem161a
ENSG00000066455	ENSP00000163416	GOLGA5	ENSDARG00000039279	ENSDARP00000057385	golga5
ENSG00000069399	ENSP00000164227	BCL3	ENSDARG00000087832	ENSDARP00000112109	
ENSG00000070404	ENSP00000166139	FSTL3	ENSDARG00000025670	ENSDARP00000155619	fstl3
ENSG00000071539	ENSP00000166345	TRIP13	ENSDARG00000025043	ENSDARP00000049098	trip13
ENSG00000071246	ENSP00000167106	VASH1	ENSDARG00000092716	ENSDARP00000114200	VASH1
ENSG00000072506	ENSP00000168216	HSD17B10	ENSDARG00000017781	ENSDARP00000017597	hsd17b10
ENSG00000075388	ENSP00000168712	FGF4	ENSDARG00000105230	ENSDARP00000135882	fgf4
ENSG00000073849	ENSP00000169298	ST6GAL1	ENSDARG00000044514	ENSDARP00000106374	st6gal1
ENSG00000075336	ENSP00000169551	TIMM21	ENSDARG00000071594	ENSDARP00000096733	timm21
ENSG00000079313	ENSP00000170168	REXO1	ENSDARG00000026986	ENSDARP00000074070	rexo1
ENSG00000076650	ENSP00000170564	GPATCH1	ENSDARG00000033418	ENSDARP00000014631	gpatch1
ENSG00000064300	ENSP00000172229	NGFR	ENSDARG00000089223	ENSDARP00000126756	ngfrb
ENSG00000066583	ENSP00000173527	ISOC1	ENSDARG00000060069	ENSDARP00000078713	isoc1
ENSG00000070444	ENSP00000174618	MNT	ENSDARG00000101859	ENSDARP00000129921	MNT
ENSG00000068697	ENSP00000175091	LAPTM4A	ENSDARG00000006397	ENSDARP00000006123	laptm4a
ENSG00000072135	ENSP00000175756	PTPN18	ENSDARG00000006308	ENSDARP00000120732	ptpn18
ENSG00000074071	ENSP00000177742	MRPS34	ENSDARG00000057910	ENSDARP00000075118	mrps34
ENSG00000137764	ENSP00000178640	MAP2K5	ENSDARG00000011851	ENSDARP00000052403	map2k5
ENSG00000078237	ENSP00000179259	TIGAR	ENSDARG00000051749	ENSDARP00000097862	tigara
ENSG00000078579	ENSP00000180166	FGF20	ENSDARG00000086070	ENSDARP00000106996	fgf20b
ENSG00000080618	ENSP00000181383	CPB2	ENSDARG00000037144	ENSDARP00000054058	cpb2
ENSG00000065308	ENSP00000182527	TRAM2	ENSDARG00000030092	ENSDARP00000043937	tram2
ENSG00000068097	ENSP00000184956	HEATR6	ENSDARG00000073686	ENSDARP00000097730	heatr6
ENSG00000068912	ENSP00000185150	ERLEC1	ENSDARG00000086309	ENSDARP00000138642	erlec1
ENSG00000112782	ENSP00000185206	CLIC5	ENSDARG00000070584	ENSDARP00000029090	clic5b
ENSG00000072954	ENSP00000187762	TMEM38A	ENSDARG00000024047	ENSDARP00000037150	tmem38a
ENSG00000075089	ENSP00000188312	ACTR6	ENSDARG00000021370	ENSDARP00000005947	actr6
ENSG00000154252	ENSP00000192314	GAL3ST2	ENSDARG00000079502	ENSDARP00000129456	GAL3ST2
ENSG00000081148	ENSP00000193391	IMPG2	ENSDARG00000100105	ENSDARP00000133130	
ENSG00000082146	ENSP00000194530	STRADB	ENSDARG00000088225	ENSDARP00000150022	STRADB
ENSG00000084444	ENSP00000197268	FAM234B	ENSDARG00000006758	ENSDARP00000084079	fam234b
ENSG00000166391	ENSP00000198801	MOGAT2	ENSDARG00000019228	ENSDARP00000104851	mogat2
ENSG00000085872	ENSP00000198939	CHERP	ENSDARG00000021812	ENSDARP00000151486	cherp
ENSG00000086232	ENSP00000199389	EIF2AK1	ENSDARG00000112267	ENSDARP00000156372	eif2ak1
ENSG00000086289	ENSP00000199448	EPDR1	ENSDARG00000045420	ENSDARP00000066787	epdr1
ENSG00000086548	ENSP00000199764	CEACAM6	ENSDARG00000096543	ENSDARP00000126614	
ENSG00000086589	ENSP00000199814	RBM22	ENSDARG00000010238	ENSDARP00000004055	rbm22
ENSG00000086696	ENSP00000199936	HSD17B2	ENSDARG00000045553	ENSDARP00000066984	hsd17b2
ENSG00000086827	ENSP00000200135	ZW10	ENSDARG00000018738	ENSDARP00000020574	zw10
ENSG00000132470	ENSP00000200181	ITGB4	ENSDARG00000028507	ENSDARP00000031533	itgb4
ENSG00000087077	ENSP00000200457	TRIP6	ENSDARG00000111420	ENSDARP00000144930	
ENSG00000087237	ENSP00000200676	CETP	ENSDARG00000030872	ENSDARP00000046890	cetp
ENSG00000088002	ENSP00000201586	SULT2B1	ENSDARG00000028367	ENSDARP00000036121	sult2st3
ENSG00000088320	ENSP00000201979	REM1	ENSDARG00000020544	ENSDARP00000005231	rem1
ENSG00000088356	ENSP00000202017	PDRG1	ENSDARG00000045017	ENSDARP00000119567	pdrg1
ENSG00000089009	ENSP00000202773	RPL6	ENSDARG00000058451	ENSDARP00000107457	rpl6
ENSG00000089048	ENSP00000202816	ESF1	ENSDARG00000008740	ENSDARP00000113328	esf1
ENSG00000089163	ENSP00000202967	SIRT4	ENSDARG00000010415	ENSDARP00000027611	sirt4
ENSG00000089195	ENSP00000203001	TRMT6	ENSDARG00000042344	ENSDARP00000062091	trmt6
ENSG00000089639	ENSP00000203556	GMIP	ENSDARG00000077249	ENSDARP00000131373	
ENSG00000090447	ENSP00000204517	TFAP4	ENSDARG00000103923	ENSDARP00000139230	TFAP4
ENSG00000090470	ENSP00000204549	PDCD7	ENSDARG00000038976	ENSDARP00000056892	pdcd7
ENSG00000090487	ENSP00000204566	SPG21	ENSDARG00000007760	ENSDARP00000109573	spg21
ENSG00000090539	ENSP00000204604	CHRD	ENSDARG00000006110	ENSDARP00000045109	chrd
ENSG00000090615	ENSP00000204726	GOLGA3	ENSDARG00000062511	ENSDARP00000115821	golga3
ENSG00000090776	ENSP00000204961	EFNB1	ENSDARG00000007723	ENSDARP00000024428	efnb1
ENSG00000157426	ENSP00000205214	AASDH	ENSDARG00000022730	ENSDARP00000118390	aasdh
ENSG00000091317	ENSP00000205636	CMTM6	ENSDARG00000099631	ENSDARP00000146420	cmtm6
ENSG00000091583	ENSP00000205948	APOH	ENSDARG00000040944	ENSDARP00000060003	ntd5
ENSG00000091640	ENSP00000206020	SPAG7	ENSDARG00000011555	ENSDARP00000133222	spag7
ENSG00000091947	ENSP00000206380	TMEM101	ENSDARG00000114508	ENSDARP00000144927	tmem101
ENSG00000092036	ENSP00000206474	HAUS4	ENSDARG00000016594	ENSDARP00000004325	haus4
ENSG00000092850	ENSP00000207457	TEKT2	ENSDARG00000028973	ENSDARP00000059357	tekt2
ENSG00000094916	ENSP00000209875	CBX5	ENSDARG00000061187	ENSDARP00000120917	cbx5
ENSG00000095059	ENSP00000210060	DHPS	ENSDARG00000003270	ENSDARP00000068557	dhps
ENSG00000167964	ENSP00000210187	RAB26	ENSDARG00000104259	ENSDARP00000139314	RAB26
ENSG00000095261	ENSP00000210313	PSMD5	ENSDARG00000059046	ENSDARP00000122309	psmd5
ENSG00000095380	ENSP00000210444	NANS	ENSDARG00000045620	ENSDARP00000067085	nansa
ENSG00000156711	ENSP00000211287	MAPK13	ENSDARG00000058470	ENSDARP00000075784	
ENSG00000096717	ENSP00000212015	SIRT1	ENSDARG00000068064	ENSDARP00000088981	SIRT1
ENSG00000099203	ENSP00000214869	TMED1	ENSDARG00000017255	ENSDARP00000089080	tmed1b
ENSG00000099365	ENSP00000215095	STX1B	ENSDARG00000000503	ENSDARP00000076389	stx1b
ENSG00000099617	ENSP00000215368	EFNA2	ENSDARG00000031372	ENSDARP00000040277	efna2a
ENSG00000095932	ENSP00000215531	SMIM24	ENSDARG00000095633	ENSDARP00000115299	smim24
ENSG00000099785	ENSP00000215555	MARCHF2	ENSDARG00000061738	ENSDARP00000082852	marchf2
ENSG00000099795	ENSP00000215565	NDUFB7	ENSDARG00000033789	ENSDARP00000043932	ndufb7
ENSG00000099800	ENSP00000215570	TIMM13	ENSDARG00000058297	ENSDARP00000075599	timm13
ENSG00000099804	ENSP00000215574	CDC34	ENSDARG00000069708	ENSDARP00000148743	cdc34a
ENSG00000099812	ENSP00000215582	MISP	ENSDARG00000104047	ENSDARP00000129934	
ENSG00000099937	ENSP00000215727	SERPIND1	ENSDARG00000021208	ENSDARP00000017995	serpind1
ENSG00000099940	ENSP00000215730	SNAP29	ENSDARG00000038518	ENSDARP00000122078	snap29
ENSG00000184436	ENSP00000215742	THAP7	ENSDARG00000070704	ENSDARP00000113351	thap7
ENSG00000099995	ENSP00000215793	SF3A1	ENSDARG00000041887	ENSDARP00000108576	sf3a1
ENSG00000184979	ENSP00000215794	USP18	ENSDARG00000088078	ENSDARP00000104564	
ENSG00000100053	ENSP00000215855	CRYBB3	ENSDARG00000041301	ENSDARP00000060534	crybb3
ENSG00000100075	ENSP00000215882	SLC25A1	ENSDARG00000076381	ENSDARP00000104198	slc25a1b
ENSG00000100078	ENSP00000215885	PLA2G3	ENSDARG00000008948	ENSDARP00000023708	pla2g3
ENSG00000241360	ENSP00000215904	PDXP	ENSDARG00000109823	ENSDARP00000151067	pdxp
ENSG00000128203	ENSP00000215906	ASPHD2	ENSDARG00000059629	ENSDARP00000077501	asphd2
ENSG00000100097	ENSP00000215909	LGALS1	ENSDARG00000038153	ENSDARP00000124248	lgals2b
ENSG00000100100	ENSP00000215912	PIK3IP1	ENSDARG00000003281	ENSDARP00000115818	pik3ip1
ENSG00000100104	ENSP00000215917	SRRD	ENSDARG00000059028	ENSDARP00000115164	srrd
ENSG00000100124	ENSP00000215941	ANKRD54	ENSDARG00000055743	ENSDARP00000072599	ankrd54
ENSG00000100162	ENSP00000215980	CENPM	ENSDARG00000024681	ENSDARP00000038262	pane1
ENSG00000100209	ENSP00000216027	HSCB	ENSDARG00000075416	ENSDARP00000098896	hscb
ENSG00000100218	ENSP00000216036	RSPH14	ENSDARG00000017983	ENSDARP00000023459	rsph14
ENSG00000100220	ENSP00000216038	RTCB	ENSDARG00000101047	ENSDARP00000140069	rtcb
ENSG00000100253	ENSP00000216075	MIOX	ENSDARG00000002764	ENSDARP00000115890	miox
ENSG00000100263	ENSP00000216085	RHBDD3	ENSDARG00000079816	ENSDARP00000098546	rhbdd3
ENSG00000100281	ENSP00000216106	HMGXB4	ENSDARG00000075783	ENSDARP00000112627	hmgxb4a
ENSG00000184117	ENSP00000216121	NIPSNAP1	ENSDARG00000005320	ENSDARP00000026717	nipsnap1
ENSG00000100297	ENSP00000216122	MCM5	ENSDARG00000019507	ENSDARP00000018877	mcm5
ENSG00000100299	ENSP00000216124	ARSA	ENSDARG00000042270	ENSDARP00000121810	arsa
ENSG00000100304	ENSP00000216129	TTLL12	ENSDARG00000103537	ENSDARP00000150878	ttll12
ENSG00000100307	ENSP00000216133	CBX7	ENSDARG00000087181	ENSDARP00000108294	CBX7
ENSG00000100314	ENSP00000216144	CABP7	ENSDARG00000078272	ENSDARP00000102690	CABP7
ENSG00000100324	ENSP00000216160	TAB1	ENSDARG00000036613	ENSDARP00000053182	TAB1
ENSG00000100348	ENSP00000216185	TXN2	ENSDARG00000034777	ENSDARP00000046994	txn2
ENSG00000100353	ENSP00000216190	EIF3D	ENSDARG00000021257	ENSDARP00000011011	eif3d
ENSG00000100373	ENSP00000216211	UPK3A	ENSDARG00000092872	ENSDARP00000113175	upk3b
ENSG00000100380	ENSP00000216218	ST13	ENSDARG00000021973	ENSDARP00000112549	st13
ENSG00000100387	ENSP00000216225	RBX1	ENSDARG00000038030	ENSDARP00000055431	rbx1
ENSG00000100399	ENSP00000216241	CHADL	ENSDARG00000075903	ENSDARP00000127208	chadlb
ENSG00000100422	ENSP00000216264	CERK	ENSDARG00000069169	ENSDARP00000117613	cerk
ENSG00000100429	ENSP00000216271	HDAC10	ENSDARG00000086458	ENSDARP00000109870	hdac10
ENSG00000023608	ENSP00000216294	SNAPC1	ENSDARG00000003827	ENSDARP00000023186	snapc1b
ENSG00000092201	ENSP00000216297	SUPT16H	ENSDARG00000079949	ENSDARP00000142119	supt16h
ENSG00000100448	ENSP00000216336	CTSG	ENSDARG00000076814	ENSDARP00000114468	gzm3.4
ENSG00000100450	ENSP00000216338	GZMH	ENSDARG00000078451	ENSDARP00000072861	gzm3
ENSG00000100473	ENSP00000216361	COCH	ENSDARG00000024032	ENSDARP00000001291	coch
ENSG00000100479	ENSP00000216367	POLE2	ENSDARG00000100028	ENSDARP00000135599	pole2
ENSG00000100522	ENSP00000216410	GNPNAT1	ENSDARG00000039892	ENSDARP00000112961	gnpnat1
ENSG00000100558	ENSP00000216446	PLEK2	ENSDARG00000012789	ENSDARP00000010322	plek2
ENSG00000100564	ENSP00000216452	PIGH	ENSDARG00000038348	ENSDARP00000156918	pigh
ENSG00000100567	ENSP00000216455	PSMA3	ENSDARG00000086618	ENSDARP00000108560	psma3
ENSG00000100580	ENSP00000216468	TMED8	ENSDARG00000052390	ENSDARP00000151645	tmed8
ENSG00000100591	ENSP00000216479	AHSA1	ENSDARG00000100317	ENSDARP00000131241	ahsa1b
ENSG00000100599	ENSP00000216487	RIN3	ENSDARG00000077618	ENSDARP00000127920	
ENSG00000100601	ENSP00000216489	ALKBH1	ENSDARG00000071164	ENSDARP00000095783	alkbh1
ENSG00000100625	ENSP00000216513	SIX4	ENSDARG00000004695	ENSDARP00000126511	six4a
ENSG00000100652	ENSP00000216540	SLC10A1	ENSDARG00000030588	ENSDARP00000145063	SLC10A1
ENSG00000100664	ENSP00000216554	EIF5	ENSDARG00000003681	ENSDARP00000154045	eif5
ENSG00000100711	ENSP00000216602	ZFYVE21	ENSDARG00000027887	ENSDARP00000069214	zfyve21
ENSG00000100836	ENSP00000216727	PABPN1	ENSDARG00000045373	ENSDARP00000066721	pabpn1
ENSG00000100842	ENSP00000216733	EFS	ENSDARG00000088835	ENSDARP00000134894	efs
ENSG00000100906	ENSP00000216797	NFKBIA	ENSDARG00000005481	ENSDARP00000109941	nfkbiaa
ENSG00000100941	ENSP00000216832	PNN	ENSDARG00000015851	ENSDARP00000011002	pnn
ENSG00000019186	ENSP00000216862	CYP24A1	ENSDARG00000103277	ENSDARP00000130345	cyp24a1
ENSG00000020256	ENSP00000216923	ZFP64	ENSDARG00000061147	ENSDARP00000081313	ZFP64
ENSG00000101057	ENSP00000217026	MYBL2	ENSDARG00000032264	ENSDARP00000109123	mybl2b
ENSG00000101138	ENSP00000217109	CSTF1	ENSDARG00000044820	ENSDARP00000109556	cstf1
ENSG00000101150	ENSP00000217121	TPD52L2	ENSDARG00000013655	ENSDARP00000148142	tpd52l2b
ENSG00000101187	ENSP00000217159	SLCO4A1	ENSDARG00000075948	ENSDARP00000099049	slco4a1
ENSG00000185019	ENSP00000217173	UBOX5	ENSDARG00000058563	ENSDARP00000075886	ubox5
ENSG00000125508	ENSP00000217188	SRMS	ENSDARG00000077783	ENSDARP00000129737	srms
ENSG00000101220	ENSP00000217195	ADISSP	ENSDARG00000076239	ENSDARP00000100238	ADISSP
ENSG00000101327	ENSP00000217305	PDYN	ENSDARG00000087798	ENSDARP00000119382	pdyn
ENSG00000101421	ENSP00000217402	CHMP4B	ENSDARG00000007323	ENSDARP00000023938	chmp4bb
ENSG00000129988	ENSP00000217407	LBP	ENSDARG00000099980	ENSDARP00000139184	
ENSG00000101438	ENSP00000217420	SLC32A1	ENSDARG00000059775	ENSDARP00000077888	slc32a1
ENSG00000101444	ENSP00000217426	AHCY	ENSDARG00000005191	ENSDARP00000002844	ahcy
ENSG00000101464	ENSP00000217446	PIGU	ENSDARG00000075530	ENSDARP00000100232	pigu
ENSG00000101473	ENSP00000217455	ACOT8	ENSDARG00000014138	ENSDARP00000009993	acot8
ENSG00000101474	ENSP00000217456	APMAP	ENSDARG00000017422	ENSDARP00000004202	apmap
ENSG00000091164	ENSP00000217515	TXNL1	ENSDARG00000011921	ENSDARP00000023934	txnl1
ENSG00000067829	ENSP00000217901	IDH3G	ENSDARG00000023648	ENSDARP00000094764	idh3g
ENSG00000077713	ENSP00000217909	SLC25A43	ENSDARG00000102048	ENSDARP00000131401	slc25a43
ENSG00000101856	ENSP00000217971	PGRMC1	ENSDARG00000054172	ENSDARP00000070803	pgrmc1
ENSG00000101888	ENSP00000218004	NXT2	ENSDARG00000061527	ENSDARP00000114020	nxt2
ENSG00000101892	ENSP00000218008	ATP1B4	ENSDARG00000053262	ENSDARP00000069762	ATP1B4
ENSG00000101940	ENSP00000218056	WDR13	ENSDARG00000022974	ENSDARP00000031340	wdr13
ENSG00000102218	ENSP00000218340	RP2	ENSDARG00000044339	ENSDARP00000120363	rp2
ENSG00000102241	ENSP00000218364	HTATSF1	ENSDARG00000056649	ENSDARP00000073630	htatsf1
ENSG00000102313	ENSP00000218436	ITIH6	ENSDARG00000056037	ENSDARP00000114971	
ENSG00000102471	ENSP00000218652	NDFIP2	ENSDARG00000033928	ENSDARP00000094499	ndfip2
ENSG00000102683	ENSP00000218867	SGCG	ENSDARG00000038107	ENSDARP00000119501	sgcg
ENSG00000102837	ENSP00000219022	OLFM4	ENSDARG00000041960	ENSDARP00000061496	
ENSG00000065057	ENSP00000219066	NTHL1	ENSDARG00000042881	ENSDARP00000062940	NTHL1
ENSG00000091651	ENSP00000219097	ORC6	ENSDARG00000075682	ENSDARP00000101426	orc6
ENSG00000102924	ENSP00000219197	CBLN1	ENSDARG00000057296	ENSDARP00000116647	cbln1
ENSG00000102967	ENSP00000219240	DHODH	ENSDARG00000051889	ENSDARP00000068087	dhodh
ENSG00000102978	ENSP00000219252	POLR2C	ENSDARG00000033596	ENSDARP00000043811	polr2c
ENSG00000102981	ENSP00000219255	PARD6A	ENSDARG00000115700	ENSDARP00000149037	pard6a
ENSG00000103005	ENSP00000219281	USB1	ENSDARG00000003841	ENSDARP00000002264	usb1
ENSG00000103021	ENSP00000219299	CCDC113	ENSDARG00000006981	ENSDARP00000003379	ccdc113
ENSG00000103024	ENSP00000219302	NME3	ENSDARG00000100990	ENSDARP00000139313	nme3
ENSG00000103035	ENSP00000219313	PSMD7	ENSDARG00000102417	ENSDARP00000149302	psmd7
ENSG00000103037	ENSP00000219315	SETD6	ENSDARG00000113991	ENSDARP00000144715	setd6
ENSG00000103056	ENSP00000219334	SMPD3	ENSDARG00000098226	ENSDARP00000133737	smpd3
ENSG00000103066	ENSP00000219345	PLA2G15	ENSDARG00000103271	ENSDARP00000131824	pla2g15
ENSG00000103089	ENSP00000219368	FA2H	ENSDARG00000090063	ENSDARP00000107067	fa2h
ENSG00000185615	ENSP00000219406	PDIA2	ENSDARG00000018263	ENSDARP00000012585	pdia2
ENSG00000103152	ENSP00000219431	MPG	ENSDARG00000069729	ENSDARP00000119099	mpg
ENSG00000103160	ENSP00000219439	HSDL1	ENSDARG00000041736	ENSDARP00000061172	hsdl1
ENSG00000103175	ENSP00000219454	WFDC1	ENSDARG00000058003	ENSDARP00000075234	wfdc1
ENSG00000103266	ENSP00000219548	STUB1	ENSDARG00000045228	ENSDARP00000118937	stub1
ENSG00000103269	ENSP00000219551	RHBDL1	ENSDARG00000087040	ENSDARP00000106338	rhbdl1
ENSG00000103326	ENSP00000219611	CAPN15	ENSDARG00000060600	ENSDARP00000151290	CAPN15
ENSG00000103460	ENSP00000219746	TOX3	ENSDARG00000073957	ENSDARP00000101166	TOX3
ENSG00000103495	ENSP00000219782	MAZ	ENSDARG00000063555	ENSDARP00000127012	
ENSG00000103550	ENSP00000219837	KNOP1	ENSDARG00000077721	ENSDARP00000112564	
ENSG00000103569	ENSP00000219919	AQP9	ENSDARG00000053480	ENSDARP00000069995	aqp9b
ENSG00000103653	ENSP00000220003	CSK	ENSDARG00000067996	ENSDARP00000088849	csk
ENSG00000103707	ENSP00000220058	MTFMT	ENSDARG00000005448	ENSDARP00000053813	mtfmt
ENSG00000103710	ENSP00000220062	RASL12	ENSDARG00000002701	ENSDARP00000103153	rasl12
ENSG00000104064	ENSP00000220429	GABPB1	ENSDARG00000023659	ENSDARP00000138165	gabpb1
ENSG00000104112	ENSP00000220478	SCG3	ENSDARG00000086288	ENSDARP00000105698	scg3
ENSG00000104129	ENSP00000220496	DNAJC17	ENSDARG00000104959	ENSDARP00000135201	dnajc17
ENSG00000104142	ENSP00000220509	VPS18	ENSDARG00000070433	ENSDARP00000094129	vps18
ENSG00000104147	ENSP00000220514	OIP5	ENSDARG00000093597	ENSDARP00000122996	oip5
ENSG00000076641	ENSP00000220597	PAG1	ENSDARG00000055875	ENSDARP00000119853	
ENSG00000042832	ENSP00000220616	TG	ENSDARG00000020084	ENSDARP00000018938	tg
ENSG00000104312	ENSP00000220751	RIPK2	ENSDARG00000104290	ENSDARP00000134516	ripk2
ENSG00000104325	ENSP00000220764	DECR1	ENSDARG00000003869	ENSDARP00000120922	decr1
ENSG00000104412	ENSP00000220853	EMC2	ENSDARG00000003308	ENSDARP00000006378	emc2
ENSG00000104472	ENSP00000220913	CHRAC1	ENSDARG00000042337	ENSDARP00000062079	chrac1
ENSG00000104689	ENSP00000221132	TNFRSF10A	ENSDARG00000004392	ENSDARP00000012354	hdr
ENSG00000104722	ENSP00000221166	NEFM	ENSDARG00000021351	ENSDARP00000074706	nefma
ENSG00000006712	ENSP00000221265	PAF1	ENSDARG00000098432	ENSDARP00000132235	paf1
ENSG00000104808	ENSP00000221403	DHDH	ENSDARG00000019081	ENSDARP00000145153	dhdh.2
ENSG00000104856	ENSP00000221452	RELB	ENSDARG00000086173	ENSDARP00000128656	
